"doc_id","paragrafo","ano","label","label2","label_final"
"Análise_Relatório_conservação_Patrimônio_2019.pdf","Relatório das Despesas de Conservação do Patrimônio Público","2019",-1,-1,-1
"Análise_Relatório_conservação_Patrimônio_2019.pdf","Valor a Executar em Unidade Orçamentária | Descrição da Intervenção 2019 (R$) Programa de Trabalho Agência Estadual de Meio Ambiente - CPRH 900.000 18.122.0933.4349 Despesas com manutenção de veículos da CPRH 200.000 18.122.0933.4549 Aquisição e adequação da sede atual da CPRH 700.000 Departamento de Estradas de Rodagem do Estado de Pernambuco - DER-PE 38.484.400 26.782.0927.4096 Conservação da BR-232 10.336.000 Conservação das rodovias sob jurisdição do 8º DOD 2.519.200 Conservação das rodovias sob jurisdição do 1° DOD 6.030.000 Conservação das rodovias sob jurisdição do 2° DOD 3.030.000 Conservação das rodovias sob jurisdição do 3° DOD 5.035.100 Conservação das rodovias sob jurisdição do 4° DOD 2.030.000 Conservação das rodovias sob jurisdição do 5° DOD 2.035.100 Conservação das rodovias sob jurisdição do 6° DOD 2.030.000 Conservação das rodovias sob jurisdição do 7° DOD 1.439.000 26.782.0927.4134 Implantação e Pavimentação da Rodovia PE - 033 4.000.000 Distrito Estadual de Fernando de Noronha 4.000.000 15.452.0082.4526 Reforma do Porto de Santo Antônio em Fernando de Noronha 4.000.000 Fundação de Atendimento Socioeducativo - FUNASE 38.969.300 14.122.0944.4361 Manutenção das Atividades da Sede da FUNASE 7.201.400 14.421.1055.4081 Manutenção das a vidades da Casa de Semiliberdade CASEM Garanhuns 528.200 Manutenção das a vidades da Casa de Semiliberdade CASEM Jaboatão dos Guararapes 200.000","2019",1,-1,0
"Análise_Relatório_conservação_Patrimônio_2019.pdf","Manutenção das a vidades da Casa de Semiliberdade CASEM Petrolina 454.100 Manutenção das a vidades da Casa de Semiliberdade CASEM Recife I (Rosarinho) 992.200 Manutenção das a vidades da Casa de Semiliberdade CASEM Recife II (Casa Amarela) 608.800 Manutenção das a vidades da Casa de Semiliberdade CASEM Recife III (Areias) 723.500 Manutenção das a vidades da Casa de Semiliberdade CASEM Santa Luzia 430.200 Manutenção das atividades da Casa de Semiliberdade CASEM Caruaru 565.600 Manutenção das atividades da Unidade de Atendimento Inicial - UNIAI 559.600 Manutenção das a vidades do Centro de Atendimento Socioeduca vo CASE Abreu e Lima 4.056.300","2019",1,1,1
"Análise_Relatório_conservação_Patrimônio_2019.pdf","Manutenção das a vidades do Centro de Atendimento Socioeduca vo CASE Cabo I 4.419.800 Manutenção das a vidades do Centro de Atendimento Socioeduca vo CASE Cabo II 100.000 Manutenção das a vidades do Centro de Atendimento Socioeduca vo CASE Caruaru 3.013.600 Manutenção das a vidades do Centro de Atendimento Socioeduca vo CASE Jaboatão dos Guararapes 1.406.200","2019",1,1,1
"Análise_Relatório_conservação_Patrimônio_2019.pdf","Manutenção das a vidades do Centro de Atendimento Socioeduca vo CASE Petrolina 1.424.700 Manutenção das a vidades do Centro de Atendimento Socioeduca vo CASE Timbaúba 1.350.100 Manutenção das a vidades do Centro de Atendimento Socioeduca vo CASE Vitória de Santo Antão 1.694.800","2019",1,1,1
"Análise_Relatório_conservação_Patrimônio_2019.pdf","Manutenção das a vidades do Centro de Atendimento Socioeduca vo CASE Santa Luzia 1.585.000 Manutenção das a vidades do Centro de Internação Provisória CENIP Caruaru 997.100 Manutenção das a vidades do Centro de Internação Provisória CENIP Petrolina 558.900 Manutenção das a vidades do Centro de Internação Provisória CENIP Recife 2.621.100 Manutenção das atividades do Centro de Internação Provisória - CENIP Santa Luzia 323.100 Manutenção das a vidades do Centro de Internação Provisória e de Atendimento Socioeduca vo - CENIP/CASE 2.062.200 Garanhuns Manutenção das a vidades do Centro de Internação Provisória e de Atendimento Socioeduca vo CENIP/ CASE - 1.092.800 Arcoverde Fundação do Patrimônio Histórico e Artístico de Pernambuco - FUNDARPE 17.081.000 13.122.0946.4363 Fortalecimento de segurança pessoal e patrimonial na FUNDARPE 2.610.900 13.391.0929.4326 Desenvolvimento e implantação de modernização física, adequação e acessibilidade audiodescritiva e comunicacional 5.100 nos equipamentos culturais da FUNDARPE Manutenção, conservação, recuperação e guarda dos equipamentos culturais do estado 604.500 Realização de iniciativas voltadas para o tombamento e outras formas de acautelamento do patrimônio cultural 5.100 material do Estado Restauração, conservação e manutenção dos bens tombados pelo Estado de Pernambuco 5.100 13.391.0929.4415 Criação e ampliação de ações de salvaguarda de patrimônios imateriais de Pernambuco 5.100 Inventário de bens culturais de natureza imaterial de Pernambuco 5.100 Valor a Executar em Unidade Orçamentária | Descrição da Intervenção 2019 (R$) Programa de Trabalho 13.392.1001.4150 Fiscalização de projetos do Funcultura 40.100 Incentivo à produção de projetos culturais - funcultura audiovisual 8.000.000 Incentivo à produção de projetos culturais - Funcultura Música 4.000.000 13.392.1062.4413 Implantação da rede de pontos de cultura 1.800.000 Fundo Estadual de Saúde - FES-PE 114.420.000 10.122.0902.4553 Ampliação, reforma e equipagem da rede de laboratórios públicos 1.200.000 Ampliação, reforma e equipagem dos hospitais estaduais - Hospital Agamenon Magalhães 6.675.000 Ampliação, reforma e equipagem dos hospitais estaduais - Hospital da Restauração 3.986.700 Ampliação, reforma e equipagem dos Hospitais Estaduais - Hospital Dom Helder Câmara 1.675.900 Ampliação, reforma e equipagem dos hospitais estaduais - Hospital Dom Malan 946.600 Ampliação, reforma e equipagem dos hospitais estaduais - Hospital Geral de Areias 1.201.400 Ampliação, reforma e equipagem dos hospitais estaduais - Hospital Getúlio Vargas 2.039.000 Ampliação, reforma e equipagem dos hospitais estaduais - Hospital Jesus Nazareno - Caruaru 35.000 Ampliação, reforma e equipagem dos Hospitais Estaduais - Hospital Miguel Arraes 1.818.900 Ampliação, reforma e equipagem dos hospitais estaduais - Hospital Otávio de Freitas 1.666.800 Ampliação, reforma e equipagem dos hospitais estaduais - Hospital Regional de Serra Talhada (Prof. Agamenon 1.192.600 Magalhães) Ampliação, reforma e equipagem dos hospitais estaduais - Hospital Regional do Agreste - Caruaru 1.140.700 Ampliação, reforma e equipagem dos hospitais estaduais - Hospital Regional Inácio de Sá - Salgueiro 2.006.400 Ampliação, reforma e equipagem dos hospitais estaduais - Hospital Regional José Fernandes Salsa - Limoeiro 220.300 Ampliação, reforma e equipagem dos hospitais estaduais - Hospital Regional Rui de Barros Correia - Arcoverde 28.500","2019",1,-1,0
"Análise_Relatório_conservação_Patrimônio_2019.pdf","Ampliação, reforma e equipagem dos hospitais estaduais - Hospital São Lucas - Fernando de Noronha 22.700 Ampliação, reforma e equipagem dos hospitais estaduais - Hospital São Sebastião - Caruaru 1.000.000 Ampliação, reforma e equipagem dos Hospitais Estaduais - PROCAPE 1.761.300 Ampliação,reforma e equipagem dos hospitais estaduais - Hospital Correia Picanço 31.000 10.122.0984.2400 Despesas com manutenção das gerências regionais de saúde - GERES 3.401.000 10.122.0984.4405 Despesas com manutenção de veículos do FES/Secretaria de Saúde 220.900 Serviços de apoio administrativo e manutenção predial da Secretaria de Saúde 64.036.000 10.302.0410.2393 Fornecimento centralizado de insumos essenciais ás atividades da Secretaria de Saúde e unidades de atendimento 16.113.300","2019",1,-1,0
"Análise_Relatório_conservação_Patrimônio_2019.pdf","10.302.0410.2396 Apoio as ações e serviços do Hospital Municipal de Ribeirão 2.000.000 Gabinete de Projetos Estratégicos – Administração Direta 114.000 04.122.0550.2912 Recuperação, Requalificação e Reforço das Estruturas do Porto de Santo Antônio em Fernando de Noronha 114.000","2019",-1,-1,-1
"Análise_Relatório_conservação_Patrimônio_2019.pdf","Gabinete do Vice-Governador - Administração Direta 9.200 04.122.0986.4406 Despesas com manutenção predial do Gabinete do Vice Governador 9.200 Instituto Agronômico de Pernambuco - IPA 6.343.400 20.122.0987.4407 Despesas com manutenção de veículos do IPA 775.900 Prestação de serviços de limpeza e conservação do IPA 3.374.200 Prestação de serviços de segurança pessoal e patrimonial no IPA 2.193.300 Instituto de Recursos Humanos de Pernambuco - IRH-PE 1.427.200 04.122.0989.4409 Despesas com Manutenção Predial do IRH 151.600 10.302.0141.0299 Despesas com Manutenção Predial do SASSEPE 1.275.600 Secretaria da Casa Civil - Administração Direta 47.500 04.122.0951.4369 Prestação de serviços de limpeza e conservação da Casa Civil 47.500 Secretaria da Controladoria Geral do Estado - Administração Direta 108.100 04.122.0953.4371 Despesas com manutenção predial da SCGE 108.100 Secretaria da Mulher - Administração Direta 5.100 14.122.0956.4374 Despesas com manutenção de veículos da Secretaria da Mulher 5.100 Secretaria das Cidades - Administração Direta 10.000 15.451.1031.4218 Manutenção da BR-101 10.000 Secretaria de Agricultura e Reforma e Agrária - Administração Direta 2.492.900 04.122.1040.3726 Manutenção das atividades do PRORURAL 1.427.100 20.122.0959.4377 Despesas com manutenção de veículos da SARA 18.600 Prestação de serviços de limpeza e conservação da SARA 1.047.200 Secretaria de Ciência, Tecnologia e Inovação - Administração Direta 8.100 19.122.0961.4379 Despesas com manutenção de veículos da SECTEC 8.100 Secretaria de Cultura - Administração Direta 6.000 13.392.0370.1825 Revitalização dos cinemas de rua - Programa Cine de Rua 6.000 Secretaria de Defesa Social - Administração Direta 7.494.100 06.122.0963.4382 Despesas com manutenção de veículos da SDS 4.146.600 06.182.1005.0304 Despesas com manutenção de veículos do Corpo de Bombeiros Militar 3.347.500 Secretaria de Desenvolvimento Social, Criança e Juventude - Administração Direta 1.463.200 08.243.1054.4545 Implantação e qualificação de casas da juventude 10.000 14.122.0965.4384 Prestação de serviços de limpeza e conservação da SDSCJ 552.300 14.365.1054.4065 Revitalização de creches 100.000 14.422.0920.4322 Prestação de serviços de limpeza e conservação das casas de acolhimento 800.900 Secretaria de Educação - Administração Direta 86.002.100 12.122.0966.4385 Apoio a casa do estudante de Pernambuco 2.060.000 Valor a Executar em Unidade Orçamentária | Descrição da Intervenção 2019 (R$) Programa de Trabalho Manutenção e Operacionalização da Sede da Secretaria de Educação 40.674.300 Manutenção e Operacionalização das Gerências Regionais de Educação - GREs 25.532.500 12.128.0261.4327 Manutenção dos Polos de Apoio Presencial do Sistema Universidade Aberta do Brasil (UAB) 231.700 12.368.1027.3314 Recuperação física das escolas atingidas por enchentes - Decreto nº 44.491/2017 7.216.700 Reforma e ampliação de escolas de ensino regular 10.286.900 Secretaria de Justiça e Direitos Humanos – Administração Direta 523.600 14.122.0210.2884 Prestação de serviços de limpeza e conservação da SEJUDH 219.300 Prestação de serviços de segurança pessoal e patrimonial na SEJUDH 174.300 14.422.1011.4184 Ampliação e manutenção do Centro Estadual de Combate à Homofobia - CECH 80.000 Manutenção de Centro de Apoio às Vítimas da Violência - CEAV 50.000 Secretaria de Planejamento e Gestão - Administração Direta 3.264.000 04.122.0006.2751 Pavimentação de vias do Distrito de Caldeirões dos Guedes em Bom Conselho - Transferências Voluntárias 225.000 Requalificação e duplicação dos acessos em Afogados da Ingazeira - Transferências Voluntárias 2.300.000 04.122.0969.4388 Operacionalização da sede da Secretaria de Planejamento e Gestão 739.000 Secretaria de Turismo, Esportes e Lazer - Administração Direta 1.505.000 23.695.0737.4339 Requalificação do Passeio da Avenida Rio Branco no Recife 5.000 23.695.0925.4142 Suporte à comissão especial de procedimento e manifestação da arena 1.500.000 Secretaria Executiva de Recursos Hídricos - Administração Direta 568.300 18.544.0611.3589 Reforma e adaptação da sede da APAC - Programa de Sustentabilidade Hídrica - PE 568.300 Secretaria Executiva de Ressocialização – SERES – Administração Direta 3.152.400 14.122.1025.2076 Despesas com manutenção de veículos da SERES 152.400 14.421.1025.4061 Reforma e adequação das Cadeias Públicas e Unidades Prisionais 3.000.000 Universidade de Pernambuco - UPE 19.458.900 10.122.0979.4451 Despesas com manutenção de veículos da UPE e suas unidades de saúde 20.000 10.302.0061.0076 Aquisição de medicamentos pela UPE e suas unidades de saúde 16.501.300 Despesas com manutenção de equipamentos médicos nas unidades de saúde da UPE 2.652.700 12.122.0979.2519 Despesas com manutenção de veículos da Reitoria da UPE 10.000 Despesas com manutenção predial da Reitoria da UPE 206.200 12.122.0979.4399 Despesas com manutenção de veículos das unidades de ensino da UPE 68.700 Total geral 347.857.800","2019",1,-1,0
"LDO 2008.pdf","LEI Nº 13.307, DE 01 DE OUTUBRO DE 2007.","2008",-1,1,0
